"# Device id and info table",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#",,,,,,,,,,,,,,"Reserved flash start",,"Scratchpad (SFLE=1)",,,,,,,,,"C2 Breakpoint SFR's",,,,,,,,
"# Name","Deviceid","Derivativeid","Version","String observed","Flash size","Flash sector Size","Xram size","External bus","Tested","Lock Type","Read lock","Write Lock","Single lock","Bottom","Top","Present","Start","Length","Sector Size","Paged SFR","SFR_Page","USB FIFO","Debug Interface","Cache","BP0L","BP0H","BP1L","BP1H","BP2L","BP2H","BP3L","BP3H","Comments"
"C8051F000","0x00","0x00",-1,,"0x8000",512,0,FALSE,FALSE,"FLT_RW","0x7dff","0x7dfe",-1,"0x7e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","Datasheet says there are 2 valid device id's for the F000"
"C8051F010","0x02","0x01",-1,,"0x8000",512,0,FALSE,FALSE,"FLT_RW","0x7dff","0x7dfe",-1,"0x7e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F001","0x00","0x02",-1,,"0x8000",512,0,FALSE,FALSE,"FLT_RW","0x7dff","0x7dfe",-1,"0x7e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F011","0x02","0x03",-1,,"0x8000",512,0,FALSE,FALSE,"FLT_RW","0x7dff","0x7dfe",-1,"0x7e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F002","0x00","0x04",-1,,"0x8000",512,0,FALSE,FALSE,"FLT_RW","0x7dff","0x7dfe",-1,"0x7e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F012","0x02","0x05",-1,,"0x8000",512,0,FALSE,FALSE,"FLT_RW","0x7dff","0x7dfe",-1,"0x7e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F206","0x01","0x08",-1,,"0x2000",512,1024,FALSE,FALSE,"FLT_RW","0x1dff","0x1dfe",-1,"0x1e00","0x1fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F220","0x01","0x0e",-1,,"0x2000",512,0,FALSE,FALSE,"FLT_RW","0x1dff","0x1dfe",-1,"0x1e00","0x1fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F221","0x01","0x0f",-1,,"0x2000",512,0,FALSE,FALSE,"FLT_RW","0x1dff","0x1dfe",-1,"0x1e00","0x1fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F226","0x01","0x10",-1,,"0x2000",512,1024,FALSE,FALSE,"FLT_RW","0x1dff","0x1dfe",-1,"0x1e00","0x1fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
